iter	Passed	Remaining
422	2182	2976
423	2187	2971
424	2192	2966
425	2197	2960
426	2202	2955
427	2207	2949
428	2212	2944
429	2217	2939
430	2221	2933
431	2226	2928
432	2232	2922
433	2237	2917
434	2242	2912
435	2247	2906
436	2252	2901
437	2257	2896
438	2262	2891
439	2267	2886
440	2273	2881
441	2278	2876
442	2283	2871
443	2288	2865
444	2293	2860
445	2298	2855
446	2303	2850
447	2308	2844
448	2314	2839
449	2319	2834
450	2324	2829
451	2329	2824
452	2334	2818
453	2339	2813
454	2344	2808
455	2349	2803
456	2354	2797
457	2359	2792
458	2364	2787
459	2369	2781
460	2374	2776
461	2379	2771
462	2384	2765
463	2389	2760
464	2395	2755
465	2400	2750
466	2405	2745
467	2410	2740
468	2416	2735
469	2421	2730
470	2426	2725
471	2431	2719
472	2436	2714
473	2442	2709
474	2447	2705
475	2452	2699
476	2457	2694
477	2462	2689
478	2467	2684
479	2472	2679
480	2478	2674
481	2483	2669
482	2489	2664
483	2494	2659
484	2499	2654
485	2505	2649
486	2510	2644
487	2515	2639
488	2520	2633
489	2525	2629
490	2530	2623
491	2535	2618
492	2541	2613
493	2546	2608
494	2551	2603
495	2557	2598
496	2562	2593
497	2567	2587
498	2572	2582
499	2577	2577
500	2581	2571
501	2587	2566
502	2592	2561
503	2597	2555
504	2601	2550
505	2607	2545
506	2612	2540
507	2616	2534
508	2622	2529
509	2627	2524
510	2632	2519
511	2638	2514
512	2644	2510
513	2649	2505
514	2654	2500
515	2660	2495
516	2665	2489
517	2670	2484
518	2675	2480
519	2680	2474
520	2685	2469
521	2691	2464
522	2695	2458
523	2700	2453
524	2705	2448
525	2711	2443
526	2716	2438
527	2721	2432
528	2726	2427
529	2731	2422
530	2736	2416
531	2740	2411
532	2746	2406
533	2752	2401
534	2757	2396
535	2761	2390
536	2767	2385
537	2772	2380
538	2777	2375
539	2783	2370
540	2788	2365
541	2793	2360
542	2799	2355
543	2804	2350
544	2809	2345
545	2814	2340
546	2819	2335
547	2825	2330
548	2831	2325
549	2836	2320
550	2840	2315
551	2846	2310
552	2852	2305
553	2857	2300
554	2862	2294
555	2868	2290
556	2873	2285
557	2878	2280
558	2883	2274
559	2889	2270
560	2894	2265
561	2899	2259
562	2904	2254
563	2909	2249
564	2915	2244
565	2920	2239
566	2926	2234
567	2932	2230
568	2937	2224
569	2942	2219
570	2947	2214
571	2952	2209
572	2958	2204
573	2963	2199
574	2968	2193
575	2973	2188
576	2978	2183
577	2984	2178
578	2989	2173
579	2994	2168
580	2999	2163
581	3005	2158
582	3011	2153
583	3016	2148
584	3021	2143
585	3027	2138
586	3032	2133
587	3038	2128
588	3043	2124
589	3048	2118
590	3053	2113
591	3059	2108
592	3064	2103
593	3069	2098
594	3075	2093
595	3080	2088
596	3085	2083
597	3091	2078
598	3096	2073
599	3102	2068
600	3107	2063
601	3113	2058
602	3118	2052
603	3123	2047
604	3128	2042
605	3134	2037
606	3139	2032
607	3145	2028
608	3150	2022
609	3156	2017
610	3161	2012
611	3166	2007
612	3171	2002
613	3176	1997
614	3181	1991
615	3187	1986
616	3192	1981
617	3198	1976
618	3203	1971
619	3208	1966
620	3213	1961
621	3218	1955
622	3223	1950
623	3229	1945
624	3234	1940
625	3239	1935
626	3244	1929
627	3249	1924
628	3254	1919
629	3259	1914
630	3264	1909
631	3270	1904
632	3275	1898
633	3280	1893
634	3285	1888
635	3290	1883
636	3295	1877
637	3300	1872
638	3305	1867
639	3310	1862
640	3315	1856
641	3321	1852
642	3326	1846
643	3331	1841
644	3336	1836
645	3341	1831
646	3346	1825
647	3351	1820
648	3357	1815
649	3362	1810
650	3367	1805
651	3373	1800
652	3378	1795
653	3384	1790
654	3389	1785
655	3394	1779
656	3399	1774
657	3404	1769
658	3409	1764
659	3414	1759
660	3420	1754
661	3425	1748
662	3430	1743
663	3435	1738
664	3439	1732
665	3445	1727
666	3450	1722
667	3455	1717
668	3460	1712
669	3465	1707
670	3471	1702
671	3476	1696
672	3481	1691
673	3486	1686
674	3491	1681
675	3497	1676
676	3503	1671
677	3508	1666
678	3513	1660
679	3518	1655
680	3523	1650
681	3529	1645
682	3534	1640
683	3540	1635
684	3545	1630
685	3550	1625
686	3555	1619
687	3560	1614
688	3565	1609
689	3570	1604
690	3575	1598
691	3580	1593
692	3585	1588
693	3590	1583
694	3596	1578
695	3601	1572
696	3606	1567
697	3611	1562
698	3616	1557
699	3622	1552
700	3627	1547
701	3632	1541
702	3637	1536
703	3642	1531
704	3647	1526
705	3652	1521
706	3658	1516
707	3663	1510
708	3668	1505
709	3674	1500
710	3678	1495
711	3684	1490
712	3689	1485
713	3695	1480
714	3700	1474
715	3705	1469
716	3710	1464
717	3715	1459
718	3720	1454
719	3725	1448
720	3730	1443
721	3735	1438
722	3740	1433
723	3746	1428
724	3751	1422
725	3756	1417
726	3761	1412
727	3766	1407
728	3771	1402
729	3776	1396
730	3781	1391
731	3787	1386
732	3792	1381
733	3796	1375
734	3802	1370
735	3807	1365
736	3812	1360
737	3817	1355
738	3823	1350
739	3828	1345
740	3833	1339
741	3838	1334
742	3843	1329
743	3849	1324
744	3854	1319
745	3860	1314
746	3865	1309
747	3871	1304
748	3876	1299
749	3881	1293
750	3887	1288
751	3896	1284
752	3903	1280
753	3910	1275
754	3917	1271
755	3923	1266
756	3930	1261
757	3937	1256
758	3943	1252
759	3949	1247
760	3954	1241
761	3959	1236
762	3965	1231
763	3972	1227
764	3979	1222
765	3984	1217
766	3989	1211
767	3994	1206
768	3998	1201
769	4003	1195
770	4008	1190
771	4013	1185
772	4018	1180
773	4023	1174
774	4028	1169
775	4033	1164
776	4038	1159
777	4044	1153
778	4049	1148
779	4054	1143
780	4058	1138
781	4064	1132
782	4069	1127
783	4074	1122
784	4079	1117
785	4084	1112
786	4089	1106
787	4094	1101
788	4099	1096
789	4104	1091
790	4109	1085
791	4115	1080
792	4120	1075
793	4125	1070
794	4130	1065
795	4135	1059
796	4140	1054
797	4146	1049
798	4151	1044
799	4156	1039
800	4161	1033
801	4166	1028
802	4171	1023
803	4176	1018
804	4181	1012
805	4186	1007
806	4192	1002
807	4197	997
808	4202	992
809	4207	986
810	4212	981
811	4217	976
812	4222	971
813	4227	965
814	4232	960
815	4237	955
816	4242	950
817	4247	945
818	4252	939
819	4257	934
820	4262	929
821	4267	924
822	4272	918
823	4277	913
824	4282	908
825	4287	903
826	4293	898
827	4298	892
828	4303	887
829	4308	882
830	4313	877
831	4318	871
832	4324	866
833	4329	861
834	4333	856
835	4338	851
836	4343	845
837	4348	840
838	4354	835
839	4359	830
840	4363	825
841	4369	819
842	4374	814
843	4379	809
844	4384	804
845	4389	799
846	4394	793
847	4400	788
848	4405	783
849	4410	778
850	4415	773
851	4421	768
852	4426	762
853	4431	757
854	4437	752
855	4442	747
856	4447	742
857	4452	736
858	4457	731
859	4462	726
860	4468	721
861	4473	716
862	4478	710
863	4484	705
864	4490	700
865	4495	695
866	4501	690
867	4506	685
868	4511	680
869	4516	674
870	4522	669
871	4527	664
872	4533	659
873	4538	654
874	4543	649
875	4549	643
876	4554	638
877	4560	633
878	4566	628
879	4572	623
880	4577	618
881	4583	613
882	4588	607
883	4593	602
884	4599	597
885	4604	592
886	4609	587
887	4614	582
888	4619	576
889	4625	571
890	4630	566
891	4635	561
892	4640	556
893	4646	550
894	4652	545
895	4657	540
896	4663	535
897	4669	530
898	4673	525
899	4679	519
900	4684	514
901	4690	509
902	4695	504
903	4700	499
904	4705	493
905	4711	488
906	4716	483
907	4722	478
908	4728	473
909	4733	468
910	4738	462
911	4744	457
912	4749	452
913	4754	447
914	4759	442
915	4765	436
916	4770	431
917	4775	426
918	4781	421
919	4787	416
920	4793	411
921	4798	405
922	4803	400
923	4809	395
924	4814	390
925	4819	385
926	4825	380
927	4830	374
928	4835	369
929	4841	364
930	4847	359
931	4852	354
932	4858	348
933	4863	343
934	4869	338
935	4875	333
936	4880	328
937	4885	322
938	4891	317
939	4896	312
940	4901	307
941	4907	302
942	4912	296
943	4918	291
944	4923	286
945	4928	281
946	4934	276
947	4939	270
948	4945	265
949	4950	260
950	4956	255
951	4961	250
952	4966	244
953	4971	239
954	4977	234
955	4982	229
956	4987	224
957	4994	218
958	4999	213
959	5005	208
960	5010	203
961	5015	198
962	5021	192
963	5026	187
964	5031	182
965	5037	177
966	5042	172
967	5048	166
968	5054	161
969	5059	156
970	5064	151
971	5070	146
972	5075	140
973	5080	135
974	5086	130
975	5092	125
976	5097	120
977	5103	114
978	5108	109
979	5113	104
980	5118	99
981	5123	93
982	5129	88
983	5134	83
984	5139	78
985	5144	73
986	5150	67
987	5155	62
988	5161	57
989	5166	52
990	5171	46
991	5176	41
992	5182	36
993	5188	31
994	5193	26
995	5199	20
996	5205	15
997	5211	10
998	5217	5
999	5222	0
