iter	RMSE
0	0.1429447852
1	0.1395513704
2	0.1362932482
3	0.1330005268
4	0.1298233275
5	0.1269193643
6	0.1240515649
7	0.1213862707
8	0.1186779621
9	0.1160654771
10	0.1135595393
11	0.1111557494
12	0.1088030089
13	0.1066045892
14	0.1043675905
15	0.1022853352
16	0.1001984735
17	0.09822429676
18	0.09632453589
19	0.09443595178
20	0.09256103547
21	0.09091907594
22	0.08944345216
23	0.087886783
24	0.08624594933
25	0.08470483013
26	0.08330240679
27	0.0818807333
28	0.08051566193
29	0.079261144
30	0.0779419521
31	0.07666994777
32	0.07548339672
33	0.07438439228
34	0.0733112447
35	0.07229018709
36	0.07132247427
37	0.07034345944
38	0.06935778585
39	0.06848636646
40	0.06761871332
41	0.06672919105
42	0.06596452803
43	0.06507383747
44	0.06429366173
45	0.06354968152
46	0.06291677127
47	0.06229877344
48	0.06170158072
49	0.06103191897
50	0.06027641969
51	0.05970574927
52	0.05903546937
53	0.05843777448
54	0.05788922079
55	0.05724748876
56	0.05665081017
57	0.05609440472
58	0.05554883666
59	0.05499204942
60	0.05452648587
61	0.05406696897
62	0.05358759537
63	0.05320147039
64	0.05275177764
65	0.05236041766
66	0.05194252329
67	0.05152685161
68	0.05116058247
69	0.05080545844
70	0.0505219575
71	0.05019754866
72	0.04988115075
73	0.0495881127
74	0.04934001198
75	0.049032992
76	0.04874929227
77	0.0485427604
78	0.04828153641
79	0.04804221336
80	0.04779930891
81	0.04759139071
82	0.04730956825
83	0.0470793082
84	0.04686780454
85	0.04667182419
86	0.04650492172
87	0.04633955664
88	0.04614592207
89	0.04592473681
90	0.04579911764
91	0.04554888605
92	0.0453788812
93	0.045219692
94	0.04509682509
95	0.04493215536
96	0.04476310773
97	0.04458933134
98	0.04444713614
99	0.04431814383
100	0.04418596476
101	0.04406164511
102	0.04394590416
103	0.04380859306
104	0.04370157276
105	0.04352843519
106	0.04340345423
107	0.04328764099
108	0.04316605902
109	0.04305896087
110	0.0429705603
111	0.04288107975
112	0.04277889228
113	0.04268728594
114	0.04257722606
115	0.04244828191
116	0.04234327087
117	0.04223457131
118	0.04215514254
119	0.04204719028
120	0.04194732324
121	0.04181844555
122	0.04173508327
123	0.04166540813
124	0.04157465639
125	0.04150216943
126	0.04142220434
127	0.04134746994
128	0.0412475697
129	0.04117990018
130	0.0411028865
131	0.04104436122
132	0.04095092555
133	0.0408749532
134	0.04081104249
135	0.04075633282
136	0.04070115241
137	0.04064193094
138	0.04059066201
